Feature,Importance
State_LA,402810050969600.0
WindDir_S,50267345125376.0
Percentage_of_Year,50110255857664.0
Day_Wednesday,49390316158976.0
Junction,47218853675008.0
Day_Sunday,46794729848832.0
Weather_Clear,43703003512832.0
Weather_Cloudy,43418835222528.0
Percentage_of_Day,40593208115200.0
Temperature,39865953550336.0
WindDir_Variable,38476795871232.0
Day_Saturday,37461807857664.0
Humidity,37433957679104.0
Longitude,36863486197760.0
WindDir_N,36738726625280.0
Wind_Speed,36201960570880.0
Precipitation,36183442718720.0
Pressure,35448286085120.0
Day_Tuesday,34116806377472.0
Latitude,34077832904704.0
WindDir_Calm,33869455687680.0
Astronomical_Twilight,33743704162304.0
Visibility,32480790839296.0
WindDir_E,30763340791808.0
Weather_Heavy Rain,30596837408768.0
Sunrise_Sunset,29901019152384.0
Day_Thursday,29745351753728.0
Nautical_Twilight,29406995152896.0
Holiday,27997165846528.0
Day_Monday,27344559407104.0
Traffic_Signal,26411999952896.0
Civil_Twilight,25567810289664.0
WindDir_W,24328399749120.0
Day_Friday,22738011947008.0
State_WI,18365762502656.0
State_MN,15533574455296.0
Weather_Light Rain,15105109524480.0
After_Holiday,14982108413952.0
Crossing,14639817555968.0
State_FL,11791249702912.0
Weather_Fog,11155029360640.0
State_MS,10758044778496.0
State_CA,10383037300736.0
State_NC,10347374182400.0
State_TX,8425383133184.0
State_GA,7281302306816.0
State_CT,7145279979520.0
Amenity,6202996555776.0
State_DE,5543361511424.0
Weather_Snow,5519265759232.0
State_IL,5181193322496.0
State_IA,4606319919104.0
State_AZ,4430034894848.0
State_VA,3725833273344.0
State_PA,3712247398400.0
State_OR,2875387805696.0
State_MO,2815809290240.0
State_IN,2727565590528.0
State_TN,2353895047168.0
State_SC,1965316505600.0
State_WA,1959978205184.0
State_AR,1418679812096.0
State_AL,1084016099328.0
State_NE,751016411136.0
State_NY,593779752960.0
Stop,287591792640.0
Roundabout,99844423680.0
Railway,96639270912.0
State_MT,77581795328.0
Station,33307555840.0
State_OH,26270466048.0
State_CO,24152807424.0
Weather_Rain,22794704896.0
State_ID,22314948608.0
State_RI,22235000832.0
State_UT,15244696576.0
State_NJ,14261560320.0
State_KS,10434419712.0
State_OK,9903331328.0
Traffic_Calming,9741119488.0
State_MD,9526338560.0
Give_Way,9225138176.0
State_NH,8841584640.0
State_WY,8297611264.0
State_DC,8018926080.0
State_WV,7351625216.0
Bump,7212182528.0
State_ME,6865277440.0
State_NV,6644510208.0
State_MA,3495872256.0
State_MI,2919218944.0
State_SD,2794946560.0
State_NM,1839899136.0
No_Exit,1663918592.0
State_KY,637321216.0
State_VT,542814208.0
State_ND,367899136.0
