ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3843722,Source1,2,2023-01-27 23:53:28,2023-01-28 01:16:30,35.793736,-78.64394,35.795108,-78.643711,0.096,Incident on PIERCE ST near JEFFERSON ST Drive with caution., Adams St,Raleigh,Wake,NC,27605-1201,US/Eastern,KRDU,2023-01-27 23:51:00,35.0,30.0,59.0,29.86,10.0,SSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3535146,Source1,3,2016-11-07 08:04:45,2016-11-07 14:04:45,38.76415,-121.25732,38.7668,-121.2535,0.275,At Taylor Rd - Accident.,I-80 E,Roseville,Placer,CA,95661,US/Pacific,KMCC,2016-11-07 07:55:00,53.6,,100.0,30.19,9.0,Calm,,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6490552,Source1,2,2021-02-03 00:24:58,2021-02-03 03:29:30,42.183382,-121.654679,42.180805,-121.649296,0.328,A crash has occurred causing no to minimum delays. Use caution., Highway 140 E,Klamath Falls,Klamath,OR,97603-9638,US/Pacific,KLMT,2021-02-03 00:53:00,31.0,22.0,59.0,25.78,10.0,SW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4306185,Source1,2,2022-02-07 16:56:53,2022-02-07 19:14:28,25.902317,-80.159889,25.898722,-80.161004,0.258,Stationary traffic on US-1 S - FL-5 from 151st St (US-1) to FL-922/123rd St/NE North Miami Blvd (US-1) due to accident., Biscayne Blvd,Miami,Miami-Dade,FL,33181,US/Eastern,KOPF,2022-02-07 16:53:00,80.0,80.0,54.0,30.01,10.0,S,9.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-431672,Source2,2,2017-04-18 08:33:13,2017-04-18 09:17:54,30.051685,-95.62059,,,0.01,Lane blocked due to accident on TX-99 Westbound near Grand Pkwy.,Grand Pkwy E,Tomball,Harris,TX,77377,US/Central,KDWH,2017-04-18 08:53:00,68.0,,96.0,30.02,3.0,Variable,3.5,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5742260,Source1,2,2021-11-07 22:03:21,2021-11-07 23:18:21,37.644917,-77.559353,37.645669,-77.55956,0.053,Incident on SPRINGFIELD RD near STILLMAN PKY Drive with caution., Springfield Rd,Glen Allen,Henrico,VA,23060-4181,US/Eastern,KOFP,2021-11-07 21:54:00,40.0,40.0,83.0,29.91,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3818562,Source1,2,2022-02-16 16:48:39,2022-02-16 19:45:17,29.702137,-95.361313,29.7023,-95.358596,0.163,Slow traffic on US-90 Alt E from TX-288 (US-90 Alt) to Griggs Rd (US-90 Alt) due to accident., La Salette St,Houston,Harris,TX,77021,US/Central,KMCJ,2022-02-16 16:53:00,70.0,70.0,81.0,29.86,9.0,SSE,21.0,0.0,Light Rain / Windy,False,False,False,False,False,False,False,False,False,True,False,False,Day,Day,Day,Day
A-2816303,Source2,2,2018-05-09 23:36:00,2018-05-10 00:20:32,38.026455,-121.94194,,,0.0,Lane blocked due to accident on Willow Pass Rd both ways at Bailey Rd.,Bailey Rd,Pittsburg,Contra Costa,CA,94565,US/Pacific,KCCR,2018-05-09 23:53:00,59.0,,72.0,29.95,10.0,SSW,15.0,,Clear,True,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4121937,Source1,2,2022-12-07 01:10:30,2022-12-07 01:31:30,33.945503,-118.279926,33.937574,-118.28025,0.5479999999999999,Slow traffic on I-110 S - Harbor Fwy S from Century Blvd (I-110) to 111th Pl (I-110) due to accident.,Harbor Fwy S,Los Angeles,Los Angeles,CA,90003,US/Pacific,KHHR,2022-12-07 00:53:00,51.0,51.0,77.0,30.03,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7643133,Source1,2,2017-12-04 10:35:38,2017-12-04 16:35:38,37.70186,-121.900932,37.70186,-121.902381,0.079,At Dougherty Rd/Hopyard Rd - Accident.,I-580 W,Dublin,Alameda,CA,94568,US/Pacific,KLVK,2017-12-04 10:53:00,55.0,,29.0,30.19,10.0,NNE,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
